SKU,Description,Active,Amount,BidEligible,BidCustomerDiscount,BrandID,ChargerID,ChargerName,DeliveryGroup,FinancingEligible,FinancingGroup,FleetEligible,FleetGroup,FleetPoints,FleetRebateProgram,FleetTier1Discount,FleetTier2Discount,FreightGroup,MSRP,OutputAmps,PromoName,PromotionType,RebateEligible,RebateStartDate,RebateEndDate,SalePrice,RebateToCustomer,SaleStartDate,SaleEndDate,SortOrder,System,Taxable,Voltage,ImageURL,Notes
EA03 430 2502,AL1 Charger,T,,F,,STIHL,AL1,AL1 Charger,HANDHELD,T,Handheld,F,HANDHELD,0, ,,,Handheld,64.99,,,#N/A,,,,,,,,957,AS,T,120,,
EA03 430 5702,AL5 Battery Charger,T,,F,,STIHL,AL5,AL5 Battery Charger,HANDHELD,T,Handheld,F,HANDHELD,0, ,,,Handheld,74.99,,,#N/A,,,,,,,,958,AS,T,120,,
EA11 430 5702,AL5-2 High Speed Charger,T,,F,,STIHL,AL5-2,AL5-2 High Speed Charger,HANDHELD,T,Handheld,F,HANDHELD,0, ,,,Handheld,106.99,,,#N/A,,,,,,,,962,AS,T,120,,
4850 430 2522,AL101 Charger,T,,F,,STIHL,AL101,AL101 Charger,HANDHELD,T,Handheld,F,HANDHELD,0, ,,,Handheld,64.99,,,#N/A,,,,,,,,955,AK|AR,T,120,,
EA09 430 5502,AL301 Rapid Charger with Cooling Fan,T,,F,,STIHL,AL301,AL301 Rapid Charger with Cooling Fan,HANDHELD,T,Handheld,F,HANDHELD,0, ,,,Handheld,117.99,,,#N/A,F,,,,,,,960,AK|AP|AR,T,120,,
EA09 430 5702,AL501 High-Speed Charger with Cooling Fan,T,,F,,STIHL,AL501,AL501 High-Speed Charger with Cooling Fan,HANDHELD,T,Handheld,F,HANDHELD,0,B,,,Handheld,192.99,,,#N/A,,,,,,,,838,AK|AP|AR,T,120,,
EA04 430 5502,AL301-4 Multi-Charger,T,,F,,STIHL,AL301-4,AL301-4 Multi-Charger,HANDHELD,T,Handheld,F,HANDHELD,0,B,,,Handheld,374.99,,,#N/A,,,,,,,,839,AP,T,120,,
EA10 430 5502,AL1602 Ultra Rapid Charger,T,,F,,STIHL,AL1602,AL1602 Ultra Rapid Charger,HANDHELD,T,Handheld,F,HANDHELD,0, ,,,Handheld,649.99,,,#N/A,F,,,,,,,961,AP,T,,,
WA04 430 2505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA04 430 5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
