ParentSKU,Description,Active,DeliveryGroup,SortOrder,Notes,BatterySKU1,BatteryQty1,BatterySKU2,BatteryQty2,BatterySKU3,BatteryQty3,ChargerSKU1,ChargerQty1,ChargerSKU2,ChargerQty2,ChargerSKU3,ChargerQty3,AttachmentSKU1,AttachmentQty1,AttachmentSKU2,AttachmentQty2,AttachmentSKU3,AttachmentQty3,AccessorySKU1,AccessoryQty1,PartSKU1,PartQty1
BA08 011 5912 US,STIHL BGA30 w/2 - AS2 Batteries & AL1 Charger,T,HANDHELD,37,,EA02 400 6501,2,,,,,EA03 430 2502,1,,,,,,,,,,,,,,
BA05 011 5919 US,STIHL BGA50.0 w/AK20 Battery & AL101 Charger,T,HANDHELD,39,,4520 400 6536,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
4523 011 5991 US,STIHL BGA57 w/AK20 Battery & AL101 Charger,T,HANDHELD,41,,4520 400 6536,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
BA04 011 5941 US,STIHL BGA60 w/AK30 Battery & AL101 Charger,T,HANDHELD,43,,4520 400 6546,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
BA02 211 0000 US,STIHL BGA86 w/AP300S Battery & AL301,T,HANDHELD,45,,4850 400 6586,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
BA02 200 0010,STIHL BGA86 w/AP300S Battery & AL301,F,HANDHELD,46,,4850 400 6586,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
BA09 011 5910 US,STIHL BGA160 w/AP300S Battery & AL301,T,HANDHELD,49,,4850 400 6586,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
BA11 011 5931 US,STIHL BRA200.0 w/AP300S Battery & AL301,T,HANDHELD,57,,4850 400 6586,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
BA11 011 5951 US,STIHL BRA280.0-B w/2 AP300S Batteries & AL301,T,HANDHELD,59,,4850 400 6586,2,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
FA10 011 5711 US,STIHL FSA30.0 w/AS2 Battery & AL1 Charger,T,HANDHELD,75,,EA02 400 6501,1,,,,,EA03 430 2502,1,,,,,,,,,,,,,,
FA11 011 5711 US,STIHL FSA50.0 w/AK10 Battery & AL101 Charger,T,HANDHELD,77,,4520 400 6531,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
4522 011 5771 US,STIHL FSA57 w/AK10 Battery & AL101 Charger,T,HANDHELD,79,,4520 400 6531,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
4522 011 5773 US,STIHL FSA57 w/AK20 Battery & AL101 Charger,T,HANDHELD,80,,4520 400 6536,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
FA04 011 5741 US,STIHL FSA60R w/AK20 Battery & AL101 Charger,T,HANDHELD,82,,4520 400 6536,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
FA07 011 5711 US,STIHL FSA70.0R w/AK20 Battery & AL101,T,HANDHELD,85,,4520 400 6536,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
FA08 011 5731 US,STIHL FSA80.0R w/AK20 Battery & AL101,T,HANDHELD,87,,4520 400 6536,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
FA08 011 5711 US,STIHL FSA80.0 w/AK20 Battery & AL101 Charger,T,HANDHELD,89,,4520 400 6536,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
FA08 011 5771 US,STIHL FSA120.0R w/AP200 Battery & AL301,T,HANDHELD,93,,4850 400 6566,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
FA08 011 5772 US,STIHL FSA120.0R w/AP300S Battery & AL301,T,HANDHELD,94,,4850 400 6586,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
FA08 011 5761 US,STIHL FSA120.0 w/AP200S Battery & AL301,T,HANDHELD,96,,4850 400 6566,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
GA01 011 6911 US,STIHL GTA26 w/AS2 Battery & AL1 Charger,T,HANDHELD,107,,EA02 400 6501,1,,,,,EA03 430 2502,1,,,,,,,,,,,,,,
GA05 011 6911 US,STIHL GTA30.0 w/2 - AS2 Batteries & AL5-2,T,HANDHELD,108,,EA02 400 6501,2,,,,,EA11 430 5702,1,,,,,,,,,,,,,,
GA04 011 6911 US,STIHL GTA40.0 w/2 - AS2 Batteries & AL5-2,T,HANDHELD,110,,EA02 400 6501,2,,,,,EA11 430 5702,1,,,,,,,,,,,,,,
HA10 011 2911 US,STIHL HLA40 w/AS2 Battery & AL1 Charger,T,HANDHELD,115,,EA02 400 6501,1,,,,,EA03 430 2502,1,,,,,,,,,,,,,,
HA01 200 0004,STIHL HLA56 w/AK10 Battery & AL101 Charger,T,HANDHELD,117,,4520 400 6531,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
HA01 200 0037,STIHL HLA56 w/AK20 Battery & AL101 Charger,T,HANDHELD,118,,4520 400 6536,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
HA03 011 3507 US,STIHL HSA26 w/AS2 Battery & AL1 Charger,T,HANDHELD,129,,EA02 400 6501,1,,,,,EA03 430 2502,1,,,,,,,,,,,,,,
HA08 011 3509 US,"STIHL HSA30.0 - 18"" w/AS2 Battery & AL1 Charger",T,HANDHELD,131,,EA02 400 6501,1,,,,,EA03 430 2502,1,,,,,,,,,,,,,,
HA08 011 3529 US,"STIHL HSA40.0 - 20"" w/2 - AS2 Batteries & AL1",T,HANDHELD,133,,EA02 400 6501,2,,,,,EA03 420 2502,1,,,,,,,,,,,,,,
4521 011 3571 US,"STIHL HSA50.1 - 20"" w/AK10 Battery & AL101",T,HANDHELD,135,,4520 400 6531,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
HA06 011 3541 US,"STIHL HSA60.1 - 24"" w/AK10 Battery & AL101",T,HANDHELD,137,,4520 400 6531,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
HA02 211 0000 US,"STIHL HSA140.0R - 24"" w/AP200S Battery & AL301",T,HANDHELD,143,,4850 400 6566,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
HA02 211 0001 US,"STIHL HSA140.0T - 24"" w/AP200S Battery AL301",F,HANDHELD,145,,4850 400 6566,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
HA02 211 0002 US,"STIHL HSA150.0R - 30"" w/AP200 Battery & AL301",T,HANDHELD,147,,4850 400 6566,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
HA02 211 0003 US,"STIHL HSA150.0T - 30"" w/AP200S Battery & AL301",T,HANDHELD,149,,4850 400 6566,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
HA02 211 0004 US,"STIHL HSA150.0T - 40"" w/AP200S Battery & AL301",T,HANDHELD,151,,4850 400 6566,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
LA02 200 0018,STIHL HTA50 w/AK20 Battery & AL101 Charger,T,HANDHELD,156,,4520 400 6536,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
FA08 011 6810 US,STIHL KMA80.0R w/AK30 Battery & AL101,T,HANDHELD,168,,4520 400 6546,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
FA08 011 6811 US,"STIHL KMA80.0R w/FS-KM, AK30 & AL101",T,HANDHELD,169,,4520 400 6546,1,,,,,4850 430 2522,1,,,,,4180 200 0471 US,1,,,,,,,,
FA08 011 6833 US,STIHL KMA120.0R w/AP300S Battery & AL301,T,HANDHELD,171,,4850 400 6586,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
