ToolSKU,Description,Model,Active,AttachmentSKU,AttachmentModel,RecommendedBatteryID1,RecommendedBatteryQty1,RecommendedChargerID1,RecommendedChargerQty1,BatteryID1,RunTimeMin1,RunTimeMax1,BatteryID2,RunTimeMin2,RunTimeMax2,BatteryID3,RunTimeMin3,RunTimeMax3,BatteryID4,RunTimeMin4,RunTimeMax4,BatteryID5,RunTimeMin5,RunTimeMax5,BatteryID6,RunTimeMin6,RunTimeMax6,BatteryID7,RunTimeMin7,RunTimeMax7,BatteryID8,RunTimeMin8,RunTimeMax8,BatteryID9,RunTimeMin9,RunTimeMax9,BatteryID10,RunTimeMin10,RunTimeMax10,ChargerID1,ChargerID2,ChargerID3,ChargerID4,ChargerID5,ChargerID6,ChargerID7,ChargerID8,ChargerID9,ChargerID10,Notes
BA08 011 5902 US,STIHL BGA30 Hand-Held Blower,BGA 30,T,,,AS2,,AL1,,AS2,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL1,AL5,AL5-2,,,,,,,,
BA08 011 5912 US,STIHL BGA30 w/2 - AS2 Batteries & AL1 Charger,BGA 30,T,,,AS2,,AL1,,AS2,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL1,AL5,AL5-2,,,,,,,,
BA05 011 5901 US,STIHL BGA50.0 Hand-Held Blower,BGA 50,T,,,AK20,,AL101,,AK10,10,55,AK20,20,115,AK30S,25,140,,,,,,,,,,,,,,,,,,,,,,,,,AL101,AL301,AL501,,,,,
BA05 011 5919 US,STIHL BGA50.0 w/AK20 Battery & AL101 Charger,BGA 50,T,,,AK20,,AL101,,AK10,10,55,AK20,20,115,AK30S,25,140,,,,,,,,,,,,,,,,,,,,,,,,,AL101,AL301,AL501,,,,,
4523 011 5961 US,STIHL BGA57 Hand-Held Blower,BGA 57,T,,,AK20,,AL101,,AK10,,10,AK20, ,22,AK30S,,27,,,,,,,,,,,,,,,,,,,,,,,,,AL101,AL301,AL501,,,,,
4523 011 5991 US,,,,,,AK20,,AL101,,AK10,,10,AK20,,22,AK30S,,27,,,,,,,,,,,,,,,,,,,,,,,,,AL101,AL301,AL501,,,,,
BA04 011 5901 US,STIHL BGA60 Hand-Held Blower,BGA 60,T,,,AK30S,,AL101,,AK10,9,50,AK20,13,105,AK30S,16,130,,,,,,,,,,,,,,,,,,,,,,,,,AL101,AL301,AL501,,,,,
BA04 011 5941 US,STIHL BGA60 w/AK30 Battery & AL101 Charger,BGA 60,T,,,AK30S,,AL101,,AK10,9,50,AK20,13,105,AK30S,16,130,,,,,,,,,,,,,,,,,,,,,,,,,AL101,AL301,AL501,,,,,
BA02 011 5901 US,STIHL BGA86 Hand-Held Blower,BGA 86,T,,,AP300S,,AL301,,AP20.1,14,81,AP30.1,25,144,AP100P,9,58,AP200P,19,120,AP300S,26,150,AP300P,29,185,AP300PC,29,185,AR2000L,90,588,AR3000L,135,877, , , ,,,, ,AL301,AL501,AL301-4,AL1602,,,
BA02 211 0000 US,STIHL BGA86 w/AP300S Battery & AL301,BGA 86,T,,,AP300S,,AL301,,AP20.1,14,81,AP30.1,25,144,AP100P,9,58,AP200P,19,120,AP300S,26,150,AP300P,29,185,AP300PC,29,185,AR2000L,90,588,AR3000L,135,877, , , ,,,, ,AL301,AL501,AL301-4,AL1602,,,
BA02 200 0010,STIHL BGA86 w/AP300S Battery & AL301,BGA 86,F,,,AP300S,,AL301,,AP20.1,14,81,AP30.1,25,144,AP100P,9,58,AP200P,19,120,AP300S,26,150,AP300P,29,185,AP300PC,29,185,AR2000L,90,588,AR3000L,135,877, , , ,,,, ,AL301,AL501,AL301-4,AL1602,,,
BA09 011 5901 US,STIHL BGA160 Hand-Held Blower,BGA 160,T,,,AP300S,,AL301,,AP20.1,11,63,AP30.1,15,121,AP100P,6,45,AP200P,12,90,AP300S,15,110,AP300P,18,135,AP300PC,18,135,AR2000L,56,440,AR3000L,85,658, , , ,,,, ,AL301,AL501,AL301-4,AL1602,,,
BA09 011 5910 US,STIHL BGA160 w/AP300S Battery & AL301,BGA 160,T,,,AP300S,,AL301,,AP20.1,11,63,AP30.1,15,121,AP100P,6,45,AP200P,12,90,AP300S,15,110,AP300P,18,135,AP300PC,18,135,AR2000L,56,440,AR3000L,85,658, , , ,,,, ,AL301,AL501,AL301-4,AL1602,,,
BA01 011 5901 US,STIHL BGA200 Hand-Held Blower,BGA 200,T,,,AR3000L,,AL501,,AP20.1,11,50,AP30.1,13,91,AP100P,7,35,AP200P,12,72,AP300S,14,95,AP300P,18,111,AP300PC,18,111,AR2000L,54,352,AR3000L,82,526, , , ,,,, ,AL301,AL501,AL301-4,AL1602,,,
BA06 011 5901 US,STIHL BGA250 Hand-Held Blower,BGA 250,T,,,AP300P,,AL301,,AP20.1,11,24,AP30.1,12,38,AP100P,7,17,AP200P,10,35,AP300S,12,40,AP300P,11,53,AP300PC,11,53,AR2000L,45,166,AR3000L,70,249,  , , ,,,, ,AL301,AL501,AL301-4,AL1602,,,
BA03 011 5911 US,STIHL BGA300.1 Back-Pack Blower,BGA 300,T,,,AR3000L,,AL501,,AP20.1,11,15,AP30.1,10,25,AP100P,7,10,AP200P,8,19,AP300S,10,25,AP300P,13,30,AP300PC,13,30,AR2000L,37,92,AR3000L,60,137, , , ,,,, ,AL301,AL501,AL301-4,AL1602,,,
BA11 011 5901 US,STIHL BRA200.0 Back-Pack Blower,BRA 200,T,,,AP300S,,AL301,,AP20.1,11,53,AP30.1,14,100,AP100P,7,37,AP200P,11,76,AP300S,14,97,AP300P,18,115,AP300PC,18,115,AR2000L,58,380, , , , , , ,,,, ,AL301,AL501,AL301-4,AL1602,,,
BA11 011 5931 US,STIHL BRA200.0 w/AP300S Battery & AL301,BRA 200,T,,,AP300S,,AL301,,AP20.1,11,53,AP30.1,14,100,AP100P,7,37,AP200P,11,76,AP300S,14,97,AP300P,18,115,AP300PC,18,115,AR2000L,58,380, , , , , , ,,,,,AL301,AL501,AL301-4,AL1602,,,
BA11 011 5921 US,STIHL BRA280.0-B Back-Pack Blower,BRA 280,T,,,AP300S,,AL301,,AP20.1,11,15,AP30.1,10,28,AP100P,7,10,AP200P,8,21,AP300S,10,25,AP300P,13,33,AP300PC,13,33, , , , ,,, ,,,,,,,AL301,AL501,AL301-4,AL1602,,,
BA11 011 5951 US,STIHL BRA280.0-B w/2 AP300S Batteries & AL301,BRA 280,T,,,AP300S,2,AL301,,AP20.1,11,15,AP30.1,10,28,AP100P,7,10,AP200P,8,21,AP300S,10,25,AP300P,13,33,AP300PC,13,33, , , , ,,, ,,,,,,,AL301,AL501,AL301-4,AL1602,,,
BA07 011 5901 US,STIHL BRA500.0 Back-Pack Blower,BRA 500,T,,,AP300S,,AL301,,AP20.1, ,22,AP30.1, ,30,AP100P, ,13,AP200P,15,26,AP300S,16,32,AP300P,21,41,AP300PC,21,41, , , , ,,, ,,,,,,,AL301,AL501,AL301-4,AL1602,,,
BA07 011 5911 US,STIHL BRA600.0 Back-Pack Blower,BRA 600,T,,,AP300S,,AL301,,AP20.1,,22,AP30.1,11,22,AP100P, ,13,AP200P,15,23,AP300S,15,29,AP300P,19,35,AP300PC,19,35, , , ,,,, ,,,,,,,AL301,AL501,AL301-4,AL1602,,,
FA10 011 5701 US,STIHL FSA30.0 Trimmer ,FSA 30,T,,,AS2,,AL1,,AS2, ,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL1,AL5,AL5-2,,,,,,,,
FA10 011 5711 US,STIHL FSA30.0 w/AS2 Battery & AL1 Charger,FSA 30,T,,,AS2,,AL1,,AS2, ,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL1,AL5,AL5-2,,,,,,,,
FA11 011 5701 US,,,,,,AK10,,AL101,,AK10, ,25,AK20, ,50,AK30S, ,60,,,,,,,,,,,,,,,,,,,,,,,,,AL101,AL301,AL501,,,,,
FA11 011 5711 US,STIHL FSA50.0 w/AK10 Battery & AL101 Charger,FSA 50,T,,,AK10,,AL101,,AK10, ,25,AK20, ,50,AK30S, ,60,,,,,,,,,,,,,,,,,,,,,,,,,AL101,AL301,AL501,,,,,
FA04 011 5701 US,STIHL FSA60R Trimmer,FSA 60 R,T,,,AK20,,AL101,,AK10, ,13,AK20, ,30,AK30S, ,38,,,,,,,,,,,,,,,,,,,,,,,,,AL101,AL301,AL501,,,,,
FA04 011 5741 US,STIHL FSA60R w/AK20 Battery & AL101 Charger,FSA 60 R,T,,,AK20,,AL101,,AK10, ,13,AK20, ,30,AK30S, ,38,,,,,,,,,,,,,,,,,,,,,,,,,AL101,AL301,AL501,,,,,
4852 011 5702 US,STIHL FSA65 Trimmer,FSA 65,T,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
