Active,SortOrder,ProgramName,APR,TermMonths,CustomerOriginationFee,MinAmount,MaxAmount,RebateCompatible,StartDate,EndDate,Public,Display,ExcludeFromBid,ExcludeFromFleet,MinDownAmount,MinDownPercent,Group_ALL_STIHL,FSA 120,Group_RMA,Group_RM,Group_ALL_ZTR,Group_RZ100,Group_RZ200,Group_RZ500,Group_RZ700,Group_RZ752,Group_RZ900,Group_AZA,Group_RZA,Notes,ProgramID,BrandID,Lender,ApplicationURL
T,1,0% for 12 Months,0,12,50,500,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,,T,,,,,,,,,,,,,20260801-1,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,2,0% for 12 Months,0,12,50,5000,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-2,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,3,0% for 24 Months,0,24,150,5000,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-3,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,4,0% for 24 Months,0,24,150,3000,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,,,,,T,,,,,,,,,,20260801-4,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,5,0% for 48 Months,0,48,150,3000,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,,,,,T,,,, ,, , , ,,20260801-5,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,6,0% for 60 Months,0,60,150,3000,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,,,,,T, , , ,,,,,,,20260801-6,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,7,0% for 60 Months,0,60,150,3000,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,,,,,,, , , ,T, ,T,T,,20260801-7,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,8,2.99% for 24 Months,0.0299,24,150,1500,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-8,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,9,3.99% for 36 Months,0.0399,36,150,3000,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-9,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,10,4.99% for 48 Months,0.0499,48,150,4500,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-10,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,11,5.99% for 60 Months,0.0599,60,150,6000,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-11,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,12,5.99% for 12 Months,0.0599,12,50,500,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-12,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,13,7.99% for 24 Months,0.0799,24,150,1500,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-13,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,14,9.99% for 36 Months,0.0999,36,150,1500,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-14,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,15,11.99% for 48 Months,0.1199,48,150,1500,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-15,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,16,8.99% for 12 Months,0.0899,12,50,500,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-16,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,17,10.99% for 24 Months,0.1099,24,150,1500,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-17,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,18,12.99% for 36 Months,0.1299,36,150,1500,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-18,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,19,14.99% for 48 Months,0.1499,48,150,1500,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-19,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
T,20,10.99% for 36 Months,0.1099,36,150,1500,75000,T,2026-08-01,2026-10-31,T,T,T,F,,,T,,,,,,,,,,,,,,20260801-20,STIHL,Sheffield Financial,https://prequalify.sheffieldFinancial.com/Apply/Dealer/51498
